entity,in_degree,out_degree,total_degree
N467 (B3),1.0,1.0,2.0
N5345 (B4),0.0,1.0,1.0
N469 (B3),2.0,1.0,3.0
N469 (B7),0.0,1.0,1.0
N5346 (B7),0.0,1.0,1.0
N5347 (B4),0.0,1.0,1.0
N5348 (B11),0.0,1.0,1.0
N5349 (B65),0.0,1.0,1.0
N5350 (B10),0.0,1.0,1.0
N474 (B66),0.0,1.0,1.0
N5351 (B52),0.0,1.0,1.0
N476 (B66),0.0,1.0,1.0
N5352 (B3),0.0,1.0,1.0
N5353 (B3),0.0,1.0,1.0
N479 (B17),0.0,1.0,1.0
N480 (B3),0.0,1.0,1.0
N481 (B3),0.0,1.0,1.0
N5354 (B4),0.0,1.0,1.0
N5355 (B5),0.0,2.0,2.0
N5356 (B5),0.0,1.0,1.0
